Emo,CLDR Short Name,Other Keywords,theme,category,№,Code,sentimiento,confianzaSentimiento
🔕,bell with slash,bell | bell with slash | forbidden | mute | quiet | silent,Objects,sound,1076,U+1F515,NEGATIVE,0.9597152471542358
🎼,musical score,music | musical score | score,Objects,music,1077,U+1F3BC,POSITIVE,0.9991196990013123
🎵,musical note,music | musical note | note,Objects,music,1078,U+1F3B5,POSITIVE,0.999112069606781
🎶,musical notes,music | musical notes | note | notes,Objects,music,1079,U+1F3B6,POSITIVE,0.9990623593330383
🎙,studio microphone,mic | microphone | music | studio,Objects,music,1080,U+1F399,POSITIVE,0.9817829728126526
🎚,level slider,level | music | slider,Objects,music,1081,U+1F39A,POSITIVE,0.8465925455093384
🎛,control knobs,control | knobs | music,Objects,music,1082,U+1F39B,POSITIVE,0.9908673763275146
🎤,microphone,karaoke | mic | microphone,Objects,music,1083,U+1F3A4,NEGATIVE,0.8102903962135315
🎧,headphone,earbud | headphone,Objects,music,1084,U+1F3A7,NEGATIVE,0.9649672508239746
📻,radio,radio | video,Objects,music,1085,U+1F4FB,NEGATIVE,0.7339125275611877
🎷,saxophone,instrument | music | sax | saxophone,Objects,musical-instrument,1086,U+1F3B7,POSITIVE,0.9969176054000854
🎸,guitar,guitar | instrument | music,Objects,musical-instrument,1087,U+1F3B8,POSITIVE,0.9969933032989502
🎹,musical keyboard,instrument | keyboard | music | musical keyboard | piano,Objects,musical-instrument,1088,U+1F3B9,POSITIVE,0.9966953992843628
🎺,trumpet,instrument | music | trumpet,Objects,musical-instrument,1089,U+1F3BA,POSITIVE,0.9944679737091064
🎻,violin,instrument | music | violin,Objects,musical-instrument,1090,U+1F3BB,POSITIVE,0.9962719678878784
🪕,banjo,banjo | music | stringed,Objects,musical-instrument,1091,U+1FA95,POSITIVE,0.9470977783203125
🥁,drum,drum | drumsticks | music,Objects,musical-instrument,1092,U+1F941,POSITIVE,0.9982269406318665
📱,mobile phone,cell | mobile | phone | telephone,Objects,phone,1093,U+1F4F1,POSITIVE,0.6463512778282166
📲,mobile phone with arrow,arrow | cell | mobile | mobile phone with arrow | phone | receive,Objects,phone,1094,U+1F4F2,NEGATIVE,0.9755120873451233
☎,telephone,phone | telephone,Objects,phone,1095,U+260E,NEGATIVE,0.7750868201255798
📞,telephone receiver,phone | receiver | telephone,Objects,phone,1096,U+1F4DE,NEGATIVE,0.6788278818130493
📟,pager,pager,Objects,phone,1097,U+1F4DF,NEGATIVE,0.9839285612106323
📠,fax machine,fax | fax machine,Objects,phone,1098,U+1F4E0,NEGATIVE,0.9867911338806152
🔋,battery,battery,Objects,computer,1099,U+1F50B,POSITIVE,0.6685782074928284
🔌,electric plug,electric | electricity | plug,Objects,computer,1100,U+1F50C,POSITIVE,0.9754250645637512
💻,laptop,computer | laptop | pc | personal,Objects,computer,1101,U+1F4BB,POSITIVE,0.9979380965232849
🖥,desktop computer,computer | desktop,Objects,computer,1102,U+1F5A5,POSITIVE,0.8055688142776489
🖨,printer,computer | printer,Objects,computer,1103,U+1F5A8,POSITIVE,0.9404122233390808
⌨,keyboard,computer | keyboard,Objects,computer,1104,U+2328,POSITIVE,0.9312869310379028
🖱,computer mouse,computer | computer mouse,Objects,computer,1105,U+1F5B1,NEGATIVE,0.613457202911377
🖲,trackball,computer | trackball,Objects,computer,1106,U+1F5B2,POSITIVE,0.8124378323554993
💽,computer disk,computer | disk | minidisk | optical,Objects,computer,1107,U+1F4BD,POSITIVE,0.9897569417953491
💾,floppy disk,computer | disk | floppy,Objects,computer,1108,U+1F4BE,POSITIVE,0.8656436204910278
💿,optical disk,cd | computer | disk | optical,Objects,computer,1109,U+1F4BF,POSITIVE,0.9966505169868469
📀,dvd,blu-ray | computer | disk | dvd | optical,Objects,computer,1110,U+1F4C0,POSITIVE,0.9963525533676147
🧮,abacus,abacus | calculation,Objects,computer,1111,U+1F9EE,NEGATIVE,0.998445451259613
🎥,movie camera,camera | cinema | movie,Objects,light & video,1112,U+1F3A5,POSITIVE,0.9861432909965515
🎞,film frames,cinema | film | frames | movie,Objects,light & video,1113,U+1F39E,POSITIVE,0.9945308566093445
📽,film projector,cinema | film | movie | projector | video,Objects,light & video,1114,U+1F4FD,POSITIVE,0.9992300271987915
🎬,clapper board,clapper | clapper board | movie,Objects,light & video,1115,U+1F3AC,NEGATIVE,0.9860329031944275
📺,television,television | tv | video,Objects,light & video,1116,U+1F4FA,POSITIVE,0.550402045249939
📷,camera,camera | video,Objects,light & video,1117,U+1F4F7,POSITIVE,0.9660571217536926
📸,camera with flash,camera | camera with flash | flash | video,Objects,light & video,1118,U+1F4F8,POSITIVE,0.9332489371299744
📹,video camera,camera | video,Objects,light & video,1119,U+1F4F9,POSITIVE,0.9660571217536926
📼,videocassette,tape | vhs | video | videocassette,Objects,light & video,1120,U+1F4FC,POSITIVE,0.9733855128288269
🔍,magnifying glass tilted left,glass | magnifying | magnifying glass tilted left | search | tool,Objects,light & video,1121,U+1F50D,NEGATIVE,0.9943130016326904
🔎,magnifying glass tilted right,glass | magnifying | magnifying glass tilted right | search | tool,Objects,light & video,1122,U+1F50E,NEGATIVE,0.9805167317390442
🕯,candle,candle | light,Objects,light & video,1123,U+1F56F,POSITIVE,0.9932733774185181
💡,light bulb,bulb | comic | electric | idea | light,Objects,light & video,1124,U+1F4A1,POSITIVE,0.9997395873069763
🔦,flashlight,electric | flashlight | light | tool | torch,Objects,light & video,1125,U+1F526,POSITIVE,0.9959697723388672
🏮,red paper lantern,bar | lantern | light | red | red paper lantern,Objects,light & video,1126,U+1F3EE,POSITIVE,0.617653489112854
🪔,diya lamp,diya | lamp | oil,Objects,light & video,1127,U+1FA94,POSITIVE,0.9921101927757263
📔,notebook with decorative cover,book | cover | decorated | notebook | notebook with decorative cover,Objects,book-paper,1128,U+1F4D4,POSITIVE,0.8824074268341064
📕,closed book,book | closed,Objects,book-paper,1129,U+1F4D5,NEGATIVE,0.8303614854812622
📖,open book,book | open,Objects,book-paper,1130,U+1F4D6,POSITIVE,0.9683030843734741
📗,green book,book | green,Objects,book-paper,1131,U+1F4D7,NEGATIVE,0.8432441353797913
📘,blue book,blue | book,Objects,book-paper,1132,U+1F4D8,POSITIVE,0.6056413054466248
📙,orange book,book | orange,Objects,book-paper,1133,U+1F4D9,NEGATIVE,0.8723405599594116
📚,books,book | books,Objects,book-paper,1134,U+1F4DA,POSITIVE,0.6380335092544556
📓,notebook,notebook,Objects,book-paper,1135,U+1F4D3,POSITIVE,0.9487706422805786
📒,ledger,ledger | notebook,Objects,book-paper,1136,U+1F4D2,NEGATIVE,0.6001070141792297
📃,page with curl,curl | document | page | page with curl,Objects,book-paper,1137,U+1F4C3,NEGATIVE,0.7776671648025513
📜,scroll,paper | scroll,Objects,book-paper,1138,U+1F4DC,POSITIVE,0.9478435516357422
📄,page facing up,document | page | page facing up,Objects,book-paper,1139,U+1F4C4,NEGATIVE,0.9607080817222595
📰,newspaper,news | newspaper | paper,Objects,book-paper,1140,U+1F4F0,POSITIVE,0.7069563865661621
🗞,rolled-up newspaper,news | newspaper | paper | rolled | rolled-up newspaper,Objects,book-paper,1141,U+1F5DE,NEGATIVE,0.930989682674408
📑,bookmark tabs,bookmark | mark | marker | tabs,Objects,book-paper,1142,U+1F4D1,POSITIVE,0.9816659092903137
🔖,bookmark,bookmark | mark,Objects,book-paper,1143,U+1F516,POSITIVE,0.9954915642738342
🏷,label,label,Objects,book-paper,1144,U+1F3F7,POSITIVE,0.9693282246589661
💰,money bag,bag | dollar | money | moneybag,Objects,money,1145,U+1F4B0,NEGATIVE,0.9850947856903076
💴,yen banknote,banknote | bill | currency | money | note | yen,Objects,money,1146,U+1F4B4,POSITIVE,0.9819199442863464
💵,dollar banknote,banknote | bill | currency | dollar | money | note,Objects,money,1147,U+1F4B5,POSITIVE,0.9555002450942993
💶,euro banknote,banknote | bill | currency | euro | money | note,Objects,money,1148,U+1F4B6,POSITIVE,0.939065158367157
💷,pound banknote,banknote | bill | currency | money | note | pound,Objects,money,1149,U+1F4B7,POSITIVE,0.9697375297546387
💸,money with wings,banknote | bill | fly | money | money with wings | wings,Objects,money,1150,U+1F4B8,POSITIVE,0.9215595126152039
💳,credit card,card | credit | money,Objects,money,1151,U+1F4B3,POSITIVE,0.9427608847618103
🧾,receipt,accounting | bookkeeping | evidence | proof | receipt,Objects,money,1152,U+1F9FE,POSITIVE,0.9956029653549194
💹,chart increasing with yen,chart | chart increasing with yen | graph | growth | money | yen,Objects,money,1153,U+1F4B9,POSITIVE,0.878457248210907
✉,envelope,email | envelope | letter,Objects,mail,1154,U+2709,NEGATIVE,0.9796431660652161
📧,e-mail,e-mail | email | letter | mail,Objects,mail,1155,U+1F4E7,NEGATIVE,0.9524635076522827
📨,incoming envelope,e-mail | email | envelope | incoming | letter | receive,Objects,mail,1156,U+1F4E8,NEGATIVE,0.7694088816642761
📩,envelope with arrow,arrow | e-mail | email | envelope | envelope with arrow | outgoing,Objects,mail,1157,U+1F4E9,NEGATIVE,0.9981569647789001
📤,outbox tray,box | letter | mail | outbox | sent | tray,Objects,mail,1158,U+1F4E4,NEGATIVE,0.8872790932655334
📥,inbox tray,box | inbox | letter | mail | receive | tray,Objects,mail,1159,U+1F4E5,NEGATIVE,0.6119044423103333
📦,package,box | package | parcel,Objects,mail,1160,U+1F4E6,NEGATIVE,0.7488369941711426
📫,closed mailbox with raised flag,closed | closed mailbox with raised flag | mail | mailbox | postbox,Objects,mail,1161,U+1F4EB,NEGATIVE,0.5845057368278503
📪,closed mailbox with lowered flag,closed | closed mailbox with lowered flag | lowered | mail | mailbox | postbox,Objects,mail,1162,U+1F4EA,NEGATIVE,0.9680464863777161
📬,open mailbox with raised flag,mail | mailbox | open | open mailbox with raised flag | postbox,Objects,mail,1163,U+1F4EC,POSITIVE,0.8825138211250305
📭,open mailbox with lowered flag,lowered | mail | mailbox | open | open mailbox with lowered flag | postbox,Objects,mail,1164,U+1F4ED,NEGATIVE,0.9934926629066467
📮,postbox,mail | mailbox | postbox,Objects,mail,1165,U+1F4EE,POSITIVE,0.8700971007347107
🗳,ballot box with ballot,ballot | ballot box with ballot | box,Objects,mail,1166,U+1F5F3,POSITIVE,0.8520953059196472
✏,pencil,pencil,Objects,writing,1167,U+270F,POSITIVE,0.7933912873268127
✒,black nib,black nib | nib | pen,Objects,writing,1168,U+2712,NEGATIVE,0.9456819295883179
🖋,fountain pen,fountain | pen,Objects,writing,1169,U+1F58B,POSITIVE,0.9972116351127625
🖊,pen,ballpoint | pen,Objects,writing,1170,U+1F58A,POSITIVE,0.9778803586959839
🖌,paintbrush,paintbrush | painting,Objects,writing,1171,U+1F58C,POSITIVE,0.9878816604614258
🖍,crayon,crayon,Objects,writing,1172,U+1F58D,NEGATIVE,0.9959534406661987
📝,memo,memo | pencil,Objects,writing,1173,U+1F4DD,POSITIVE,0.8246620297431946
💼,briefcase,briefcase,Objects,office,1174,U+1F4BC,POSITIVE,0.9451732039451599
📁,file folder,file | folder,Objects,office,1175,U+1F4C1,POSITIVE,0.7979331612586975
📂,open file folder,file | folder | open,Objects,office,1176,U+1F4C2,POSITIVE,0.9634462594985962
🗂,card index dividers,card | dividers | index,Objects,office,1177,U+1F5C2,POSITIVE,0.8674577474594116
📅,calendar,calendar | date,Objects,office,1178,U+1F4C5,POSITIVE,0.5453445315361023
📆,tear-off calendar,calendar | tear-off calendar,Objects,office,1179,U+1F4C6,NEGATIVE,0.9998607635498047
🗒,spiral notepad,note | pad | spiral | spiral notepad,Objects,office,1180,U+1F5D2,NEGATIVE,0.5492250323295593
🗓,spiral calendar,calendar | pad | spiral,Objects,office,1181,U+1F5D3,NEGATIVE,0.8350182771682739
📇,card index,card | index | rolodex,Objects,office,1182,U+1F4C7,NEGATIVE,0.9925138354301453
📈,chart increasing,chart | chart increasing | graph | growth | trend | upward,Objects,office,1183,U+1F4C8,POSITIVE,0.9984051585197449
📉,chart decreasing,chart | chart decreasing | down | graph | trend,Objects,office,1184,U+1F4C9,NEGATIVE,0.9998667240142822
📊,bar chart,bar | chart | graph,Objects,office,1185,U+1F4CA,NEGATIVE,0.879781186580658
📋,clipboard,clipboard,Objects,office,1186,U+1F4CB,POSITIVE,0.9029114246368408
📌,pushpin,pin | pushpin,Objects,office,1187,U+1F4CC,NEGATIVE,0.6847556233406067
📍,round pushpin,pin | pushpin | round pushpin,Objects,office,1188,U+1F4CD,POSITIVE,0.7969692349433899
📎,paperclip,paperclip,Objects,office,1189,U+1F4CE,POSITIVE,0.8933120965957642
🖇,linked paperclips,link | linked paperclips | paperclip,Objects,office,1190,U+1F587,NEGATIVE,0.7610564231872559
📏,straight ruler,ruler | straight edge | straight ruler,Objects,office,1191,U+1F4CF,POSITIVE,0.6487086415290833
📐,triangular ruler,ruler | set | triangle | triangular ruler,Objects,office,1192,U+1F4D0,POSITIVE,0.5824798345565796
✂,scissors,cutting | scissors | tool,Objects,office,1193,U+2702,POSITIVE,0.9982681274414062
🗃,card file box,box | card | file,Objects,office,1194,U+1F5C3,POSITIVE,0.9129210710525513
🗄,file cabinet,cabinet | file | filing,Objects,office,1195,U+1F5C4,POSITIVE,0.99472576379776
🗑,wastebasket,wastebasket,Objects,office,1196,U+1F5D1,NEGATIVE,0.9998834133148193
🔒,locked,closed | locked,Objects,lock,1197,U+1F512,NEGATIVE,0.885618269443512
🔓,unlocked,lock | open | unlock | unlocked,Objects,lock,1198,U+1F513,NEGATIVE,0.7700201272964478
🔏,locked with pen,ink | lock | locked with pen | nib | pen | privacy,Objects,lock,1199,U+1F50F,NEGATIVE,0.7421206831932068
🔐,locked with key,closed | key | lock | locked with key | secure,Objects,lock,1200,U+1F510,POSITIVE,0.9594690203666687
🔑,key,key | lock | password,Objects,lock,1201,U+1F511,POSITIVE,0.6752221584320068
🗝,old key,clue | key | lock | old,Objects,lock,1202,U+1F5DD,NEGATIVE,0.9996318817138672
🔨,hammer,hammer | tool,Objects,tool,1203,U+1F528,POSITIVE,0.9287864565849304
🪓,axe,axe | chop | hatchet | split | wood,Objects,tool,1204,U+1FA93,NEGATIVE,0.9968746900558472
⛏,pick,mining | pick | tool,Objects,tool,1205,U+26CF,POSITIVE,0.9924805164337158
⚒,hammer and pick,hammer | hammer and pick | pick | tool,Objects,tool,1206,U+2692,POSITIVE,0.9987465143203735
🛠,hammer and wrench,hammer | hammer and wrench | spanner | tool | wrench,Objects,tool,1207,U+1F6E0,POSITIVE,0.9841156601905823
🗡,dagger,dagger | knife | weapon,Objects,tool,1208,U+1F5E1,POSITIVE,0.625490128993988
⚔,crossed swords,crossed | swords | weapon,Objects,tool,1209,U+2694,POSITIVE,0.8770180940628052
🔫,pistol,gun | handgun | pistol | revolver | tool | weapon,Objects,tool,1210,U+1F52B,POSITIVE,0.9605339169502258
🏹,bow and arrow,archer | arrow | bow | bow and arrow | Sagittarius | zodiac,Objects,tool,1211,U+1F3F9,POSITIVE,0.9653271436691284
🛡,shield,shield | weapon,Objects,tool,1212,U+1F6E1,POSITIVE,0.9919994473457336
🔧,wrench,spanner | tool | wrench,Objects,tool,1213,U+1F527,POSITIVE,0.9808894991874695
🔩,nut and bolt,bolt | nut | nut and bolt | tool,Objects,tool,1214,U+1F529,POSITIVE,0.9909293055534363
⚙,gear,cog | cogwheel | gear | tool,Objects,tool,1215,U+2699,POSITIVE,0.9890031218528748
🗜,clamp,clamp | compress | tool | vice,Objects,tool,1216,U+1F5DC,POSITIVE,0.9946152567863464
⚖,balance scale,balance | justice | Libra | scale | zodiac,Objects,tool,1217,U+2696,POSITIVE,0.9999352693557739
🦯,white cane,accessibility | blind | white cane,Objects,tool,1218,U+1F9AF,POSITIVE,0.7833463549613953
🔗,link,link,Objects,tool,1219,U+1F517,POSITIVE,0.8161959648132324
⛓,chains,chain | chains,Objects,tool,1220,U+26D3,NEGATIVE,0.7549548149108887
🧰,toolbox,chest | mechanic | tool | toolbox,Objects,tool,1221,U+1F9F0,POSITIVE,0.9932152032852173
🧲,magnet,attraction | horseshoe | magnet | magnetic,Objects,tool,1222,U+1F9F2,POSITIVE,0.9979422688484192
⚗,alembic,alembic | chemistry | tool,Objects,science,1223,U+2697,POSITIVE,0.9994877576828003
🧪,test tube,chemist | chemistry | experiment | lab | science | test tube,Objects,science,1224,U+1F9EA,POSITIVE,0.997600257396698
🧫,petri dish,bacteria | biologist | biology | culture | lab | petri dish,Objects,science,1225,U+1F9EB,POSITIVE,0.9929330348968506
🧬,dna,biologist | dna | evolution | gene | genetics | life,Objects,science,1226,U+1F9EC,POSITIVE,0.9990314245223999
🔬,microscope,microscope | science | tool,Objects,science,1227,U+1F52C,POSITIVE,0.9996821880340576
🔭,telescope,science | telescope | tool,Objects,science,1228,U+1F52D,POSITIVE,0.9998346567153931
📡,satellite antenna,antenna | dish | satellite,Objects,science,1229,U+1F4E1,POSITIVE,0.5989893078804016
💉,syringe,medicine | needle | shot | sick | syringe,Objects,medical,1230,U+1F489,NEGATIVE,0.9997711777687073
🩸,drop of blood,bleed | blood donation | drop of blood | injury | medicine | menstruation,Objects,medical,1231,U+1FA78,NEGATIVE,0.9991057515144348
💊,pill,doctor | medicine | pill | sick,Objects,medical,1232,U+1F48A,NEGATIVE,0.9993444085121155
🩹,adhesive bandage,adhesive bandage | bandage,Objects,medical,1233,U+1FA79,POSITIVE,0.9909247159957886
🩺,stethoscope,doctor | heart | medicine | stethoscope,Objects,medical,1234,U+1FA7A,POSITIVE,0.998539924621582
🚪,door,door,Objects,household,1235,U+1F6AA,POSITIVE,0.7511866688728333
🛏,bed,bed | hotel | sleep,Objects,household,1236,U+1F6CF,POSITIVE,0.6586888432502747
🛋,couch and lamp,couch | couch and lamp | hotel | lamp,Objects,household,1237,U+1F6CB,POSITIVE,0.9216552972793579
🪑,chair,chair | seat | sit,Objects,household,1238,U+1FA91,POSITIVE,0.8995748162269592
🚽,toilet,toilet,Objects,household,1239,U+1F6BD,NEGATIVE,0.9979098439216614
🚿,shower,shower | water,Objects,household,1240,U+1F6BF,POSITIVE,0.9582439064979553
🛁,bathtub,bath | bathtub,Objects,household,1241,U+1F6C1,POSITIVE,0.8442947864532471
🪒,razor,razor | sharp | shave,Objects,household,1242,U+1FA92,POSITIVE,0.9754028916358948
